deviceID	fromDate	toDate	consumption	userID
782435385-Overall	7/1/2015 0:22	7/1/2015 0:23	2215	37
1144586020-Overall	7/1/2015 0:22	7/1/2015 0:23	651	38
1275104184-Overall	7/1/2015 0:22	7/1/2015 0:23	168	35
77863289-Overall	7/1/2015 0:22	7/1/2015 0:23	86	36
1949724277-Overall	7/1/2015 0:22	7/1/2015 0:23	344	25
1870305884-Overall	7/1/2015 0:22	7/1/2015 0:23	191	28
1870305884-Overall	7/1/2015 0:23	7/1/2015 0:24	190	28
1949724277-Overall	7/1/2015 0:23	7/1/2015 0:24	355	25
908983910-Overall	7/1/2015 0:23	7/1/2015 0:24	58	22
1454442161-Overall	7/1/2015 0:23	7/1/2015 0:24	152	21
1951210032-Overall	7/1/2015 0:23	7/1/2015 0:24	882	39
331804188-Overall	7/1/2015 0:23	7/1/2015 0:24	331	32
167203295-Overall	7/1/2015 0:23	7/1/2015 0:24	861	29
77863289-Overall	7/1/2015 0:23	7/1/2015 0:24	87	36
1275104184-Overall	7/1/2015 0:23	7/1/2015 0:24	168	35
1741156914-Overall	7/1/2015 0:23	7/1/2015 0:24	1286	24
687157380-Overall	7/1/2015 0:23	7/1/2015 0:24	841	23
1144586020-Overall	7/1/2015 0:23	7/1/2015 0:24	653	38
782435385-Overall	7/1/2015 0:23	7/1/2015 0:24	2216	37
782435385-Overall	7/1/2015 0:24	7/1/2015 0:25	2198	37
1144586020-Overall	7/1/2015 0:24	7/1/2015 0:25	651	38
1951210032-Overall	7/1/2015 0:24	7/1/2015 0:25	881	39
1949724277-Overall	7/1/2015 0:24	7/1/2015 0:25	343	25
1870305884-Overall	7/1/2015 0:24	7/1/2015 0:25	190	28
1454442161-Overall	7/1/2015 0:24	7/1/2015 0:25	240	21
908983910-Overall	7/1/2015 0:24	7/1/2015 0:25	56	22
687157380-Overall	7/1/2015 0:24	7/1/2015 0:25	396	23
1741156914-Overall	7/1/2015 0:24	7/1/2015 0:25	1286	24
167203295-Overall	7/1/2015 0:24	7/1/2015 0:25	833	29
331804188-Overall	7/1/2015 0:24	7/1/2015 0:25	331	32
1275104184-Overall	7/1/2015 0:24	7/1/2015 0:25	167	35
77863289-Overall	7/1/2015 0:24	7/1/2015 0:25	91	36
77863289-Overall	7/1/2015 0:25	7/1/2015 0:26	137	36
1275104184-Overall	7/1/2015 0:25	7/1/2015 0:26	167	35
1870305884-Overall	7/1/2015 0:25	7/1/2015 0:26	191	28
1949724277-Overall	7/1/2015 0:25	7/1/2015 0:26	334	25
1144586020-Overall	7/1/2015 0:25	7/1/2015 0:26	652	38
782435385-Overall	7/1/2015 0:25	7/1/2015 0:26	2202	37
1951210032-Overall	7/1/2015 0:25	7/1/2015 0:26	882	39
331804188-Overall	7/1/2015 0:25	7/1/2015 0:26	332	32
167203295-Overall	7/1/2015 0:25	7/1/2015 0:26	821	29
908983910-Overall	7/1/2015 0:25	7/1/2015 0:26	58	22
1454442161-Overall	7/1/2015 0:25	7/1/2015 0:26	254	21
1741156914-Overall	7/1/2015 0:25	7/1/2015 0:26	387	24
687157380-Overall	7/1/2015 0:25	7/1/2015 0:26	400	23
687157380-Overall	7/1/2015 0:26	7/1/2015 0:27	399	23
1741156914-Overall	7/1/2015 0:26	7/1/2015 0:27	327	24
782435385-Overall	7/1/2015 0:26	7/1/2015 0:27	2217	37
1144586020-Overall	7/1/2015 0:26	7/1/2015 0:27	652	38
1275104184-Overall	7/1/2015 0:26	7/1/2015 0:27	154	35
77863289-Overall	7/1/2015 0:26	7/1/2015 0:27	90	36
1949724277-Overall	7/1/2015 0:26	7/1/2015 0:27	335	25
1870305884-Overall	7/1/2015 0:26	7/1/2015 0:27	190	28
1454442161-Overall	7/1/2015 0:26	7/1/2015 0:27	248	21
908983910-Overall	7/1/2015 0:26	7/1/2015 0:27	57	22
1951210032-Overall	7/1/2015 0:26	7/1/2015 0:27	885	39
167203295-Overall	7/1/2015 0:26	7/1/2015 0:27	817	29
331804188-Overall	7/1/2015 0:26	7/1/2015 0:27	333	32
331804188-Overall	7/1/2015 0:27	7/1/2015 0:28	332	32
167203295-Overall	7/1/2015 0:27	7/1/2015 0:28	818	29
77863289-Overall	7/1/2015 0:27	7/1/2015 0:28	93	36
1275104184-Overall	7/1/2015 0:27	7/1/2015 0:28	45	35
1741156914-Overall	7/1/2015 0:27	7/1/2015 0:28	328	24
687157380-Overall	7/1/2015 0:27	7/1/2015 0:28	400	23
1144586020-Overall	7/1/2015 0:27	7/1/2015 0:28	653	38
782435385-Overall	7/1/2015 0:27	7/1/2015 0:28	2246	37
1951210032-Overall	7/1/2015 0:27	7/1/2015 0:28	884	39
1870305884-Overall	7/1/2015 0:27	7/1/2015 0:28	190	28
1949724277-Overall	7/1/2015 0:27	7/1/2015 0:28	341	25
908983910-Overall	7/1/2015 0:27	7/1/2015 0:28	57	22
1454442161-Overall	7/1/2015 0:27	7/1/2015 0:28	237	21
1454442161-Overall	7/1/2015 0:28	7/1/2015 0:29	243	21
908983910-Overall	7/1/2015 0:28	7/1/2015 0:29	57	22
687157380-Overall	7/1/2015 0:28	7/1/2015 0:29	399	23
1741156914-Overall	7/1/2015 0:28	7/1/2015 0:29	335	24
167203295-Overall	7/1/2015 0:28	7/1/2015 0:29	821	29
331804188-Overall	7/1/2015 0:28	7/1/2015 0:29	332	32
